Address,Suburb,CouncilArea
61 Dundas St,Preston,Darebin
1E Black St,Reservoir,Darebin
1 Don St,Reservoir,Darebin
28 Manoel Av,Reservoir,Darebin
4 Newton St,Reservoir,Darebin
92 Pine St,Reservoir,Darebin
170 Coppin St,Richmond,Yarra
115 Loughnan Rd,Ringwood,Maroondah
14 Everard Rd,Ringwood East,Maroondah
179 Beverley Rd,Rosanna,Banyule
30 Phillips Cr,Rosanna,Banyule
4 Gellion Pl,Roxburgh Park,Hume
8 Kennedy Pde,Roxburgh Park,Hume
221 Bluff Rd,Sandringham,Bayside
1 millgrove St,Scoresby,Knox
137 East Rd,Seaford,Frankston
48 Hamilton St,Seddon,Maribyrnong
20 Watt St,Spotswood,Hobsons Bay
33 Moonstone Cct,St Albans,Brimbank
4 Collegian Av,Strathmore,Moonee Valley
31 Barkly St,Sunbury,Hume
7 Fullbrook Dr,Sunbury,Hume
37 Ligar St,Sunbury,Hume
64 Stewarts La,Sunbury,Hume
9 Appleby Ct,Sunshine,Brimbank
5 Berkshire Rd,Sunshine North,Brimbank
24 Hilma St,Sunshine West,Brimbank
16 Mudford St,Sunshine West,Brimbank
20 Albert Cr,Surrey Hills,Boroondara
46 Durham Rd,Surrey Hills,Boroondara
3 Oak St,Surrey Hills,Whitehorse
27 McMahon Cr,Tarneit,Wyndham
10 Hathaway Cl,Templestowe,Manningham
20 Airds Rd,Templestowe Lower,Manningham
16 Benambra Dr,Templestowe Lower,Manningham
50 Caroline Dr,Templestowe Lower,Manningham
7 Dove Ct,Templestowe Lower,Manningham
7 Ballantyne St,Thornbury,Darebin
201 Gooch St,Thornbury,Darebin
7 Londrew Ct,Tullamarine,Hume
73 Nurlendi Rd,Vermont,Whitehorse
9 Winswood Cl,Vermont South,Whitehorse
149 Graham Rd,Viewbank,Banyule
16 chesterfield Ct,Wantirna,Knox
12 Armagh Cr,Wantirna South,Knox
34 Fewster Dr,Wantirna South,Knox
15 Mara Cl,Wantirna South,Knox
76 Kenmare St,Watsonia,Banyule
5 Nuragi Ct,Werribee,Wyndham
9 Black St,Westmeadows,Hume
12 Strada Cr,Wheelers Hill,Monash
77 Merrett Dr,Williamstown,Hobsons Bay
83 Power St,Williamstown,Hobsons Bay
96 Verdon St,Williamstown,Hobsons Bay
6 Agnes St,Yarraville,Maribyrnong
