Address,Suburb,CouncilArea
6 Audrey Cr,Glen Iris,Boroondara
10 Howard St,Glen Iris,Boroondara
1/16 Osborne Av,Glen Iris,Stonnington
16 Clematis St,Glen Waverley,Monash
9 Dorset St,Glen Waverley,Monash
31 Hampstead Cr,Glen Waverley,Monash
94 Herriotts Bvd,Glen Waverley,Monash
6 Melrose Ct,Glen Waverley,Monash
1 Granville St,Glenroy,Moreland
56 Maude Av,Glenroy,Moreland
39 Scotland Av,Greensborough,Banyule
6 Epping St,Hadfield,Moreland
14 Kanowna St,Hampton,Bayside
1B Simpson Pl,Hawthorn,Boroondara
2 Homebush Cr,Hawthorn East,Boroondara
4 Invermay Gr,Hawthorn East,Boroondara
5 Marden Pl,Heathmont,Maroondah
19 Portsmouth St,Heathmont,Maroondah
25 Westmore Dr,Heathmont,Maroondah
42 Swanston St,Heidelberg Heights,Banyule
14 Ashwood Av,Highett,Bayside
35 Bedingham Dr,Hillside,Melton
22 Claremont Cr,Hoppers Crossing,Wyndham
3 Milton Wy,Hurstbridge,Nillumbik
46 McArthur Rd,Ivanhoe East,Banyule
10 Melville Cl,Keilor,Brimbank
2 Ajax Cl,Keilor Downs,Brimbank
20 College Pde,Keilor East,Moonee Valley
11 David Av,Keilor East,Moonee Valley
17 Nyah St,Keilor East,Moonee Valley
14 Paul Av,Keilor East,Moonee Valley
61 Truro Cr,Keilor Lodge,Brimbank
118 Derby St,Kew,Boroondara
38 Bennett Pde,Kew East,Boroondara
11 Coleman Av,Kew East,Boroondara
29 Elm Gr,Kew East,Boroondara
62 Kilby Rd,Kew East,Boroondara
7 Albion St,Kingsville,Maribyrnong
165 Chirnside St,Kingsville,Maribyrnong
28 Duncan Rd,Lalor,Whittlesea
26 Newton Cr,Lalor,Whittlesea
19 Howard St,Maidstone,Maribyrnong
57 Edsall St,Malvern,Stonnington
18 Vickery St,Malvern East,Stonnington
343 Waverley Rd,Malvern East,Stonnington
13 Manna Ct,Meadow Heights,Hume
71 Hume Av,Melton South,Melton
14A Teague Av,Mentone,Kingston
13 Leonardo Dr,Mernda,Whittlesea
136 Page St,Middle Park,Port Phillip
253 Richardson St,Middle Park,Port Phillip
34 Border Dr,Mill Park,Whittlesea
3 Rosehill Ct,Mill Park,Whittlesea
53 Dunlavin Rd,Mitcham,Whitehorse
15 Tirana St,Mitcham,Whitehorse
1/12 Hotham St,Mont Albert,Whitehorse
13 Hudson St,Moonee Ponds,Moonee Valley
11 Murray St,Moonee Ponds,Moonee Valley
327 Hull Rd,Mooroolbark,Yarra Ranges
6 Caper Ct,Mulgrave,Monash
337 Murrumbeena Rd,Murrumbeena,Glen Eira
26 Mirls St,Newport,Hobsons Bay
211A Woods St,Newport,Hobsons Bay
63 Nolan St,Niddrie,Moonee Valley
39 Valias St,North Warrandyte,Nillumbik
13 Thomson St,Northcote,Darebin
36 Winifred St,Northcote,Darebin
9 Young St,Oakleigh,Monash
24 Columbia St,Oakleigh South,Kingston
672 North Rd,Ormond,Glen Eira
5 Alameda St,Parkdale,Kingston
1 Robert St,Parkdale,Kingston
10 Ray St,Pascoe Vale,Moreland
32 Page Av,Port Melbourne,Port Phillip
1 Princes Pl,Port Melbourne,Port Phillip
346 Princes St,Port Melbourne,Port Phillip
6 Gooch St,Prahran,Stonnington
22 Irving Av,Prahran,Stonnington
69 Jensen Rd,Preston,Darebin
24 Regent St,Preston,Darebin
34 Elsey Rd,Reservoir,Darebin
753 Gilbert Rd,Reservoir,Darebin
55 Keon Pde,Reservoir,Darebin
27 Ramleh Rd,Reservoir,Darebin
69 Buckingham St,Richmond,Yarra
50 Farmer St,Richmond,Yarra
36/73 River St,Richmond,Yarra
25 Georges Rd,Ringwood,Maroondah
8 Ian Av,Ringwood East,Maroondah
32 Heron Ct,Ringwood North,Maroondah
11 Greville Rd,Rosanna,Banyule
18 Colchester Cct,Roxburgh Park,Hume
50 Bamfield St,Sandringham,Bayside
121 Sandringham Rd,Sandringham,Bayside
2 Trentham St,Sandringham,Bayside
1 Victory St,Sandringham,Bayside
6 Manyung Ct,Seaford,Frankston
206 Montague St,South Melbourne,Port Phillip
54 Palmerston Cr,South Melbourne,Port Phillip
349 Park St,South Melbourne,Port Phillip
40 Smith St,South Melbourne,Port Phillip
14 The Avenue,South Morang,Whittlesea
2 Hopetoun Gr,South Yarra,Stonnington
67 Wilson St,South Yarra,Stonnington
3 Kemp Pl,Sunbury,Hume
39 Mitchells La,Sunbury,Hume
11 Perceval St,Sunbury,Hume
32 Cumberland St,Sunshine North,Brimbank
57 Guildford Rd,Surrey Hills,Boroondara
34 Marcus Rd,Templestowe Lower,Manningham
274 Station St,Thomastown,Whittlesea
1 Newlands Ct,Wantirna,Knox
127 Fraser Cr,Wantirna South,Knox
22 Broadwater Dr,Waterways,Kingston
45 High St,Werribee,Wyndham
1 Scott St,Werribee,Wyndham
12 Walpa Ct,Westmeadows,Hume
40 Queen St,Williamstown,Hobsons Bay
2/157 Peel St,Windsor,Stonnington
74 Lehmanns Rd,Wollert,Whittlesea
18 Wigan Cl,Wollert,Whittlesea
28 Cranbrook St,Yarraville,Maribyrnong
279 Hyde St,Yarraville,Maribyrnong
96 Pentland Pde,Yarraville,Maribyrnong
13 Valencia St,Aberfeldie,Moonee Valley
121 Richardson St,Albert Park,Port Phillip
6 Myrtle Gr,Altona,Hobsons Bay
27 Beuron Rd,Altona North,Hobsons Bay
4 Seventh Av,Altona North,Hobsons Bay
20 Kooyong Rd,Armadale,Stonnington
45 Northcote Rd,Armadale,Stonnington
69 Gloucester Rd,Ashburton,Boroondara
85 Nepean Hwy,Aspendale,Kingston
14 Chris Ct,Aspendale Gardens,Kingston
1/75 Canning St,Avondale Heights,Moonee Valley
23 Nungerner St,Balwyn,Boroondara
1 Page St,Balwyn North,Boroondara
3/38 Severn St,Balwyn North,Boroondara
19 Bolton St,Beaumaris,Bayside
7 Haydens Rd,Beaumaris,Bayside
4 Clairmont Av,Bentleigh,Glen Eira
7 Lockwood St,Bentleigh,Glen Eira
794 North Rd,Bentleigh East,Glen Eira
21 Yaralla Rd,Bentleigh East,Glen Eira
2 Furness St,Blackburn,Whitehorse
27 Gerald St,Blackburn,Whitehorse
352 Middleborough Rd,Blackburn,Whitehorse
152 Middleborough Rd,Blackburn South,Whitehorse
16B Newberry Av,Bonbeach,Kingston
40 Allanfield Cr,Boronia,Knox
45 Rose St,Box Hill,Whitehorse
35 Shepherd St,Braybrook,Maribyrnong
1 Airlie St,Brighton,Bayside
1 Leonie Ct,Brighton,Bayside
7 Oak Gr,Brighton,Bayside
176 Albert St,Brunswick,Moreland
4/135 Brunswick Rd,Brunswick,Moreland
5 McPherson St,Brunswick,Moreland
4/831 Park St,Brunswick,Moreland
8 Hamer St,Brunswick East,Moreland
33 Holmes St,Brunswick East,Moreland
21 Millicent Av,Bulleen,Manningham
54 Linacre Dr,Bundoora,Whittlesea
1 Oxford Dr,Bundoora,Banyule
9 Glengarry Av,Burwood,Whitehorse
12 Patterson Av,Burwood,Whitehorse
6 Medhurst St,Burwood East,Whitehorse
19 Davis Av,Camberwell,Boroondara
31 Kasouka Rd,Camberwell,Boroondara
9 Lofty Av,Camberwell,Boroondara
61 Belsize Av,Carnegie,Glen Eira
67 Belsize Av,Carnegie,Glen Eira
25 Byron St,Carnegie,Glen Eira
121 Leila Rd,Carnegie,Glen Eira
22A Mernda Av,Carnegie,Glen Eira
40 Brumbys Rd,Carrum Downs,Frankston
60 Carrington Cr,Carrum Downs,Frankston
33 Baxter Av,Chelsea,Kingston
54 Benkel Av,Cheltenham,Kingston
28 Elliott St,Cheltenham,Kingston
38 Fairview Av,Cheltenham,Kingston
39 Farm Rd,Cheltenham,Kingston
45 Voltri St,Cheltenham,Kingston
22 Burton Av,Clayton,Monash
1/76 Scotsburn Av,Clayton,Monash
51 Ester Cr,Clayton South,Kingston
60 Alexandra Pde,Clifton Hill,Yarra
5 Noone St,Clifton Hill,Yarra
7 Kewarren Ct,Coburg,Moreland
9A Methven St,Coburg,Moreland
9 Ryland St,Coburg North,Moreland
54 Mater St,Collingwood,Yarra
382A Smith St,Collingwood,Yarra
2 Ravenwoods Wy,Craigieburn,Hume
14 Venetian Ct,Croydon,Maroondah
60 First Av,Dandenong North,Greater Dandenong
1 Hovell St,Deer Park,Brimbank
32 Fernhill Dr,Dingley Village,Kingston
4/30 Fromhold Dr,Doncaster,Manningham
